Year,Avg. Pace,Player,Team,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year
2020,99.5,Aaron Gordon,ORL,13,19,33,13,13.8,7.2,4.2,0.7,0.8,2.8,0.528,1.6,0.7,23.3,10.8,0,0
2020,99.5,Aaron Holiday,IND,4,30,30,15,7.4,1.3,1.8,0.5,0.1,0.8,0.465,1.1,0.4,19.1,4.3,0,0
2020,99.5,Aaron Nesmith,BOS,9,17,32,15,4.4,2.6,0.4,0.2,0.3,0.6,0.557,1,0.2,12.2,3.4,0,0
2020,99.5,Abdel Nader,PHO,4,15,31,20,6,2.1,0.9,0.3,0.1,0.6,0.609,0.7,0.2,19.5,8.9,0,0
2020,99.5,Adam Mokoka,CHI,7,7,31,15,1.6,0.6,0.6,0.3,0.1,0.3,0.393,0.1,0,16.3,4,0,0
2020,99.5,Al Horford,OKC,12,22,32,13,14.6,6.9,3.7,0.9,0.8,1.1,0.541,2.1,0.9,22.5,12.9,5,0
2020,99.5,Al-Farouq Aminu,ORL,13,6,33,13,3.2,3.5,1.8,1.2,0.5,1.3,0.47,0.3,0.2,13,7.7,0,0
2020,99.5,Alec Burks,NYK,6,21,33,16,11.6,4.7,2,0.7,0.2,1.1,0.57,2.1,0.7,19.7,10.2,0,0
2020,99.5,Aleksej Pokusevski,OKC,12,17,32,13,3.3,3.5,1.2,0.5,1.1,1.3,0.301,0.6,0.5,16.9,3.9,0,0
2020,99.5,Alex Caruso,LAL,3,26,33,22,5.3,2.5,2.3,1,0.2,1.2,0.531,0.9,0.9,13.8,8,0,0
2020,99.5,Alex Len,TOR,5,7,33,16,2.3,1.6,0.4,0.1,0.9,1.1,0.633,0.4,0.1,11.7,9.4,0,0
2020,99.5,Alfonzo McKinnie,LAL,3,16,33,22,1.9,1.1,0.1,0.1,0,0.1,0.689,0.3,0.1,17.7,11.7,0,0
2020,99.5,Amir Coffey,LAC,2,20,34,23,2.8,0.8,0.4,0.2,0,0.4,0.637,0.6,0.1,14.9,7.3,0,0
2020,99.5,Andre Drummond,CLE,14,25,33,12,17.5,13.5,2.6,1.6,1.2,3.2,0.5,0,1.3,30.9,15.3,2,0
2020,99.5,Andre Iguodala,MIA,10,30,32,15,4.6,3.6,2.3,1,0.5,1.1,0.527,1.1,1,11.3,8.1,1,0
2020,99.5,Andre Roberson,BRK,2,2,34,22,0,2.5,1,0.5,0.5,0.5,0,0,0,7.9,4.8,0,0
2020,99.5,Andrew Wiggins,GSW,7,33,33,18,17.5,4.6,2.2,0.8,1.2,1.9,0.553,1.8,1.3,23.2,8.9,0,0
2020,99.5,Anfernee Simons,POR,5,28,31,18,8.7,2.5,1.2,0.2,0.2,0.8,0.561,2.1,0.1,20.5,7.4,0,0
2020,99.5,Anthony Edwards,MIN,15,33,33,7,14.3,3.9,2.6,0.8,0.4,1.7,0.468,1.9,0.5,25,7.4,0,0
2020,99.5,Anthony Gill,WAS,12,10,30,12,1,1.9,0.3,0.3,0.2,0.3,0.425,0.1,0.1,9.4,9.5,0,0
2020,99.5,Anžejs Pasečņiks,WAS,12,1,30,12,0,1,1,0,0,5,0,0,0,41.5,-26,0,0
2020,99.5,Aron Baynes,TOR,5,30,33,16,5.8,5.3,1,0.3,0.3,0.9,0.473,0.5,0.6,15.6,6.2,0,0
2020,99.5,Ashton Hagans,MIN,15,2,33,7,0,0,0,0,0,0.5,0,0,0,10.5,-25,0,0
2020,99.5,Austin Rivers,NYK,6,21,33,16,7.3,2.2,2,0.6,0,1,0.545,1.3,0.5,16.2,7.1,0,0
2020,99.5,Avery Bradley,MIA,10,10,32,15,8.5,1.8,1.4,0.7,0.1,0.9,0.607,1.6,0.2,16.7,6.2,0,0
