PLAYER,TEAM,Conf.,AS Prob.,Model Prediction
Aaron Gordon,ORL,East,1.0,Yes
Rodney Hood,POR,West,1.0,No
Anthony Davis,LAL,West,1.0,No
Zion Williamson,NOP,West,1.0,No
Nicolas Claxton,BRK,West,1.0,No
Xavier Tillman Sr.,MEM,West,1.0,No
Will Barton,DEN,West,1.0,No
Wesley Matthews,LAL,West,1.0,No
Vlatko Čančar,DEN,West,1.0,No
Victor Oladipo,HOU,West,1.0,No
Vernon Carey Jr.,CHO,West,1.0,No
Udoka Azubuike,UTA,West,1.0,No
Tyus Jones,MEM,West,1.0,No
Tyrese Haliburton,SAC,West,1.0,No
Tyler Johnson,BRK,West,1.0,No
Tyler Bey,DAL,West,1.0,No
Trey Lyles,SAS,West,1.0,No
Trey Burke,DAL,West,1.0,No
Willy Hernangómez,NOP,West,1.0,No
John Wall,HOU,West,1.0,No
Nicolas Batum,LAC,West,1.0,No
Nickeil Alexander-Walker,NOP,West,1.0,No
Landry Shamet,BRK,West,1.0,No
LaMelo Ball,CHO,West,1.0,No
LaMarcus Aldridge,SAS,West,1.0,No
Brandon Ingram,NOP,West,1.0,No
Chris Paul,PHO,West,1.0,No
Damian Lillard,POR,West,1.0,No
Patrick Beverley,LAC,West,1.0,No
Robert Covington,POR,West,1.0,No
Richaun Holmes,SAC,West,1.0,No
Reggie Perry,BRK,West,1.0,No
Reggie Jackson,LAC,West,1.0,No
Quinn Cook,LAL,West,1.0,No
PJ Dozier,DEN,West,1.0,No
Paul Millsap,DEN,West,1.0,No
Paul George,LAC,West,1.0,No
Patty Mills,SAS,West,1.0,No
Patrick Patterson,LAC,West,1.0,No
P.J. Washington,CHO,West,1.0,No
Devin Booker,PHO,West,1.0,No
Tim Hardaway Jr.,DAL,West,1.0,No
Timothé Luwawu-Cabarrot,BRK,West,1.0,No
Tre Jones,SAS,West,1.0,No
Trent Forrest,UTA,West,1.0,No
Nikola Jokić,DEN,West,1.0,No
Luka Dončić,DAL,West,1.0,No
LeBron James,LAL,West,1.0,No
Kawhi Leonard,LAC,West,1.0,No
James Harden,BRK,West,1.0,No
Donovan Mitchell,UTA,West,1.0,No
Kyrie Irving,BRK,West,1.0,No
Kyle Kuzma,LAL,West,1.0,No
Kyle Anderson,MEM,West,1.0,No
Mfiondu Kabengele,LAC,West,1.0,No
Mychal Mulder,GSW,West,1.0,No
Moses Brown,OKC,West,1.0,No
Montrezl Harrell,LAL,West,1.0,No
Monte Morris,DEN,West,1.0,No
Miye Oni,UTA,West,1.0,No
Miles Bridges,CHO,West,1.0,No
Mike Muscala,OKC,West,1.0,No
Mike Conley,UTA,West,1.0,No
Nico Mannion,GSW,West,1.0,No
Mikal Bridges,PHO,West,1.0,No
Mason Jones,HOU,West,1.0,No
Naz Reid,MIN,West,1.0,No
Marvin Bagley III,SAC,West,1.0,Yes
Marquese Chriss,GSW,West,1.0,Yes
Markus Howard,DEN,West,1.0,Yes
Markieff Morris,LAL,West,1.0,Yes
Marcus Morris,LAC,West,1.0,Yes
Marc Gasol,LAL,West,1.0,Yes
Malik Monk,CHO,West,1.0,Yes
Malik Beasley,MIN,West,1.0,Yes
Luke Kennard,LAC,West,1.0,Yes
Luka Šamanić,SAS,West,1.0,Yes
Nassir Little,POR,West,1.0,No
Nemanja Bjelica,SAC,West,1.0,No
Kristaps Porziņģis,DAL,West,1.0,No
Juwan Morgan,UTA,West,1.0,No
Kostas Antetokounmpo,LAL,West,1.0,No
Kira Lewis Jr.,NOP,West,1.0,No
Kevon Looney,GSW,West,1.0,No
Kevin Durant,BRK,West,1.0,No
Kentavious Caldwell-Pope,LAL,West,1.0,No
Kent Bazemore,GSW,West,1.0,No
Kelly Oubre Jr.,GSW,West,1.0,No
Keldon Johnson,SAS,West,1.0,No
Keita Bates-Diop,SAS,West,1.0,No
Al Horford,OKC,West,1.0,No
Jusuf Nurkić,POR,West,1.0,No
Nick Richards,CHO,West,1.0,No
Justise Winslow,MEM,West,1.0,No
Justin Jackson,OKC,West,1.0,No
Juan Toscano-Anderson,GSW,West,1.0,No
Josh Richardson,DAL,West,1.0,No
Jordan Poole,GSW,West,1.0,No
Jordan Clarkson,UTA,West,1.0,No
Langston Galloway,PHO,West,1.0,No
Lonnie Walker,SAS,West,1.0,No
Lonzo Ball,NOP,West,1.0,No
Marcus Smart,BOS,East,1.0,Yes
Robert Woodard,SAC,West,1.0,No
Royce O'Neale,UTA,West,1.0,No
Abdel Nader,PHO,West,1.0,Yes
Rudy Gay,SAS,West,1.0,No
Andrew Wiggins,GSW,West,1.0,No
Jaylen Nowell,MIN,West,1.0,No
Anfernee Simons,POR,West,1.0,No
Anthony Edwards,MIN,West,1.0,No
Boban Marjanović,DAL,West,1.0,No
Jarrett Allen,BRK,West,1.0,No
Jarrell Brantley,UTA,West,1.0,No
Bojan Bogdanović,UTA,West,1.0,No
JaMychal Green,DEN,West,1.0,No
James Wiseman,GSW,West,1.0,No
Brad Wanamaker,GSW,West,1.0,No
Harrison Barnes,SAC,West,1.0,No
Jamal Murray,DEN,West,1.0,No
Jalen Smith,PHO,West,1.0,No
Hamidou Diallo,OKC,West,1.0,No
Gordon Hayward,CHO,West,1.0,No
Gorgui Dieng,MEM,West,1.0,No
CJ Elleby,POR,West,1.0,No
CJ McCollum,POR,West,1.0,No
Desmond Bane,MEM,West,1.0,No
Derrick White,SAS,West,1.0,No
Derrick Jones Jr.,POR,West,1.0,No
Derrick Favors,UTA,West,1.0,No
Jeff Green,BRK,West,1.0,No
Amir Coffey,LAC,West,1.0,No
Alfonzo McKinnie,LAL,West,1.0,No
Jalen Brunson,DAL,West,1.0,No
Buddy Hield,SAC,West,1.0,No
Dario Šarić,PHO,West,1.0,No
Jae Crowder,PHO,West,1.0,No
Brodric Thomas,HOU,West,1.0,No
Jakob Poeltl,SAS,West,1.0,No
Bruno Caboclo,HOU,West,1.0,No
Bruce Brown,BRK,West,1.0,No
J.J. Redick,NOP,West,1.0,No
Cameron Johnson,PHO,West,1.0,No
Ja Morant,MEM,West,1.0,No
Ivica Zubac,LAC,West,1.0,No
Jevon Carter,PHO,West,1.0,No
Isaiah Roby,OKC,West,1.0,No
Isaiah Hartenstein,DEN,West,1.0,No
Hassan Whiteside,SAC,West,1.0,No
Harry Giles,POR,West,1.0,No
Caleb Martin,CHO,West,1.0,No
Jalen McDaniels,CHO,West,1.0,No
James Johnson,DAL,West,1.0,No
Brandon Clarke,MEM,West,1.0,No
Joe Harris,BRK,West,1.0,No
Alex Caruso,LAL,West,1.0,No
Dennis Schröder,LAL,West,1.0,No
DeMarcus Cousins,HOU,West,1.0,No
DeMar DeRozan,SAS,West,1.0,No
Rudy Gobert,UTA,West,1.0,No
Caris LeVert,BRK,West,1.0,No
E'Twaun Moore,PHO,West,1.0,No
Carmelo Anthony,POR,West,1.0,No
Chimezie Metu,SAC,West,1.0,No
Chris Chiozza,BRK,West,1.0,No
Drew Eubanks,SAS,West,1.0,No
Draymond Green,GSW,West,1.0,No
Christian Wood,HOU,West,1.0,No
Dillon Brooks,MEM,West,1.0,No
Grayson Allen,MEM,West,1.0,No
Karl-Anthony Towns,MIN,West,1.0,No
Enes Kanter,POR,West,1.0,No
Jonas Valančiūnas,MEM,West,1.0,No
Terry Rozier,CHO,West,1.0,No
Terance Mann,LAC,West,1.0,No
Taurean Prince,BRK,West,1.0,No
Talen Horton-Tucker,LAL,West,1.0,No
Stephen Curry,GSW,West,1.0,No
Spencer Dinwiddie,BRK,West,1.0,No
Shaquille Harrison,UTA,West,1.0,No
Shai Gilgeous-Alexander,OKC,West,1.0,No
Serge Ibaka,LAC,West,1.0,No
Elijah Hughes,UTA,West,1.0,No
Eric Bledsoe,NOP,West,1.0,No
Joe Ingles,UTA,West,1.0,No
Cody Martin,CHO,West,1.0,No
Dejounte Murray,SAS,West,1.0,No
Cody Zeller,CHO,West,1.0,No
DeAndre Jordan,BRK,West,1.0,No
Deandre Ayton,PHO,West,1.0,No
De'Anthony Melton,MEM,West,1.0,No
D'Angelo Russell,MIN,West,1.0,No
De'Aaron Fox,SAC,West,1.0,No
Damian Jones,PHO,West,1.0,No
Damion Lee,GSW,West,1.0,No
Darius Bazley,OKC,West,1.0,No
Devin Vassell,SAS,West,1.0,No
Eric Gordon,HOU,West,1.0,No
Devontae Cacok,LAL,West,1.0,No
Devonte' Graham,CHO,West,1.0,No
Daniel Oturu,LAC,West,1.0,No
Georges Niang,UTA,West,1.0,No
George Hill,OKC,West,1.0,No
Cameron Payne,PHO,West,1.0,No
Gary Trent Jr.,POR,West,1.0,No
Frank Kaminsky,PHO,West,1.0,No
Facundo Campazzo,DEN,West,1.0,No
Eric Paschall,GSW,West,1.0,No
Michael Porter Jr.,DEN,West,1.0,Yes
Lou Williams,LAC,West,1.0,No
Seth Curry,PHI,East,1.0,No
T.J. Warren,IND,East,1.0,No
Skylar Mays,ATL,East,1.0,No
Shake Milton,PHI,East,1.0,No
Sam Merrill,MIL,East,1.0,No
Ryan Arcidiacono,CHI,East,1.0,No
Rui Hachimura,WAS,East,1.0,No
Robert Williams,BOS,East,1.0,No
RJ Barrett,NYK,East,1.0,No
Stanley Johnson,TOR,East,1.0,No
Torrey Craig,MIL,East,1.0,No
Tremont Waters,BOS,East,1.0,No
Tristan Thompson,BOS,East,1.0,No
Russell Westbrook,WAS,East,1.0,No
Pascal Siakam,TOR,East,1.0,No
Kyle Lowry,TOR,East,1.0,No
Khris Middleton,MIL,East,1.0,No
